English word,Greek words,Synsets
,,bring into a different state
,,bring ashore
,,deliver (a blow)
,,arrive on shore
,,shoot at and force to come down
Landlady,"πανδοκεύτρια, καπηλίς",a landlord who is a woman
Landlord,"κάπηλος, μισθῶν, πανδοκεύς",a landowner who leases to others
Landlubber,χερσαῖος,a person who lives and works on land
,,an inexperienced sailor; a sailor on the first voyage
Landmark,"σημεῖον, τά, σῆμα, ὅρος, ὅρια",the position of a prominent or well-known object in a particular landscape
,,an event marking a unique or important historical change of course or one on which important developments depend
,,a mark showing the boundary of a piece of land
,,an anatomical structure used as a point of origin in locating other anatomical structures (as in surgery) or as point from which measurements can be taken
Landowner,"γαμόρος, γεωμόρος",a holder or proprietor of land
Landscape,"χώρα, ὄψις",an expanse of scenery that can be seen in a single view
,,painting depicting an expanse of natural scenery
,,a genre of art dealing with the depiction of natural scenery
,,an extensive mental viewpoint
,,embellish with plants
,,do landscape gardening
Landsman,χερσαῖος,a person who lives and works on land
,,an inexperienced sailor; a sailor on the first voyage
Lane,στενωπός,a narrow way or road
,,a well-defined track or path; for e.g. swimmers or lines of traffic
Language,"φάτις, τά, φθόγγος, φωνή, λέξις, λόγοι, λόγος, ῥήματα, γλῶσσα, δίγλωσσος, ὁμόφωνος",a systematic means of communicating by the use of sounds or conventional symbols
,,(language) communication by word of mouth
,,the text of a popular song or musical-comedy number
,,the cognitive processes involved in producing and understanding linguistic communication
,,the mental faculty or power of vocal communication
,,a system of words used to name things in a particular discipline
Languid,"βραχύς, μικρός, ἔκλυτος, ἄρρωστος, ἀπειρηκώς, ὀλίγος, μαλακός, μαλθακός, ἀπρόθυμος, ἀσθενής, ὑγρός, σμικρός, λεπτός, ἄναλκις, ἄναρθρος",lacking spirit or liveliness
Languidly,"μαλθακῶς, μαλακῶς, ἀσθενῶς, ἀπροθύμως",in a languid and lethargic manner
Languish,"ἀπαγορεύειν, παρίεσθαι, παραλύεσθαι, προκάμνειν, ἀποκάμνειν, ἀπειπεῖν, κάμνειν, ἐκλύεσθαι","lose vigor, health, or flesh, as through grief"
,,have a desire for something or someone who is not present
,,become feeble
Languishing,"μαλακός, μαλθακός","lose vigor, health, or flesh, as through grief"
,,have a desire for something or someone who is not present
,,become feeble
Languor,"ἀσθένεια, μαλθακόν, μαλακία, ἀρρωστία, κόπος",a relaxed comfortable feeling
,,a feeling of lack of interest or energy
,,inactivity; showing an unusual lack of energy
Lank,"μανός, λεπτός, μακρός",long and thin and often limp
,,long and lean
Lap,"περιβάλλειν, ἀμπέχειν, ἐκλάπτειν, ῥοφεῖν, λείχειν, ἀμφιβάλλειν, ἀπολάπτειν",the upper side of the thighs of a seated person
,,an area of control or responsibility
,,the part of a piece of clothing that covers the thighs
,,a flap that lies over another part
,,movement once around a course
,,touching with the tongue
,,lie partly over or alongside of something or of one another
,,pass the tongue over
,,move with or cause to move with a whistling or hissing sound
,,take up with the tongue
,,wash or flow against
Lapse,"προσκεῖσθαι, ἐξέρχετθαι, προέρχεσθαι, διαγίγνεσθαι, ἐξήκειν, διέρχεσθαι, ἀποκλίνειν, πρός, παρέρχεσθαι",a mistake resulting from inattention
,,a break or intermission in the occurrence of something
,,a failure to maintain a higher state
,,pass into a specified state or condition
,,"end, at least for a long time"
,,"drop to a lower level, as in one's morals or standards"
,,go back to bad behavior
,,let slip
,,pass by
Lard,ἀλοιφή,soft white semisolid fat obtained by rendering the fatty tissue of the hog
,,prepare or cook with lard
,,add details to
Large,"τηλικόσδε, τόσος, ἄφετος, τοσόσδε, ὅσος, ἀνειμένος, πολύς, πηλίκος, εὐρύς, τοσοῦτος, μακρός, ἄφθονος, τηλικοῦτος, ὅποσος, μέγας, πόσος",a garment size for a large person
,,above average in size or number or quantity or magnitude or extent
,,fairly large or important in effect; influential
,,ostentatiously lofty in style
,,generous and understanding and tolerant
,,conspicuous in position or importance
,,having broad power and range and scope
,,in an advanced stage of pregnancy
,,"at a distance, wide of something (as of a mark)"
,,with the wind abaft the beam
,,in a boastful manner
Large-hearted,"μεγαλόφρων, γενναῖος",showing or motivated by sympathy and understanding and generosity
Largely,"κάρτα, μεγάλα, σφόδρα, μάλιστα, πολλά, πολύ, μέγα",in large part; mainly or chiefly
,,on a large scale
Large-minded,"μεγαλόφρων, γενναῖος",showing or characterized by broad-mindedness
Largeness,"πλῆθος, μέγεθος, ἀφθονία, ὄγκος",the capacity to understand a broad range of topics
,,large or extensive in breadth or importance or comprehensiveness
,,the property of having a relatively great size
,,the quality of being pretentious (behaving or speaking in such a manner as to create a false appearance of great importance or worth)
Largess,ἐπιφορά,a gift or money given (as for service or out of benevolence); usually given ostentatiously
,,liberality in bestowing gifts; extremely liberal and generous of spirit
Lark,κορυδός,North American songbirds having a yellow breast
,,a songbird that lives mainly on the ground in open country; has streaky brown plumage
,,any of numerous predominantly Old World birds noted for their singing
,,any carefree episode
,,play boisterously
Larva,σκώληξ,the immature free-living form of most invertebrates and amphibians and fish which at hatching from the egg is fundamentally unlike its parent and must metamorphose
Larynx,λάρυγξ,a cartilaginous structure at the top of the trachea; contains elastic vocal cords that are the source of the vocal tone in speech
Lascivious,"μαργός, ἀσελγής, ἀκρατής, ὑβριστικός, σπαργῶν, ἀκόλαστος",driven by lust; preoccupied with or exhibiting lustful desires
Lasciviously,"ἀσελγῶς, ἀκολάστως, ἀκρατῶς, ὑβριστικῶς",in a lascivious manner
Lasciviousness,"ἀσέλγεια, ἀκολασία, μαργότης, ἀκράτεια, ὕβρις",feeling morbid sexual desire or a propensity to lewdness
Lash,"μαστιγοῦν, πατάξαι, καθάπτεσθαι, ἐγκεῖσθαι, προσάπτειν, δεῖν, ἐπιπλήσσειν, περικλύζεσθαι, συνδεῖν, παίειν, κρούειν, ἀράσσειν, ἀμφίκλυστος, ἁλίστονος, συνάπτειν, τύπτειν, ἁλίρροθος, πατάσσειν, θείνειν",any of the short curved hairs that grow from the edges of the eyelids
,,leather strip that forms the flexible part of a whip
,,a quick blow delivered with a whip or whiplike object
,,beat severely with a whip or rod
,,lash or flick about sharply
,,strike as if by whipping
,,"bind with a rope, chain, or cord"
Lassitude,κόπος,a state of comatose torpor (as found in sleeping sickness)
,,a feeling of lack of interest or energy
,,weakness characterized by a lack of vitality or energy
Last,"χρονίζειν, ζῆν, ἐξαρκεῖν, παραμένειν, ἀντέχειν, συμμένειν, μένειν, διαγίγνεσθαι, χρονίζεσθαι, ἐμμένειν, ἀρκεῖν",the temporal end; the concluding time
,,the last or lowest in an ordering or series
,,a person's dying act; the final thing a person can do
,,the time at which life ends; continuing until dead
,,"a unit of weight equal to 4,000 pounds"
,,a unit of capacity for grain equal to 80 bushels
,,the concluding parts of an event or occurrence
,,holding device shaped like a human foot that is used to fashion or repair shoes
,,persist for a specified period of time
,,continue to live through hardship or adversity
,,immediately past
,,coming after all others in time or space or degree or being the only one remaining
,,occurring at or forming an end or termination
,,most unlikely or unsuitable
,,occurring at the time of death
,,conclusive in a process or progression
,,highest in extent or degree
,,not to be altered or undone
,,lowest in rank or importance
,,most_recently
,,the item at the end
Lasting,"μόνιμος, βέβαιος, ἔμπεδος, πολυχρόνιος, χρόνιος, χρονίζειν",persist for a specified period of time
,,continue to live through hardship or adversity
,,continuing or enduring without marked change in status or condition or place
,,existing for a long time
,,retained; not shed
,,lasting a long time without change
Lastly,"λοίσθιον, τελευταῖον",the item at the end
Latch,"τά, κλῇθρα",spring-loaded doorlock that can only be opened from the outside with a key
,,catch for fastening a door or gate; a bar that can be lowered or slid into a groove
,,fasten with a latch
Latchet,ἱμάς,a leather strap or thong used to attach a sandal or shoe to the foot
Late,"ὀψέ, μεθύστερον, ὕστερον",being or occurring at an advanced period of time or after a usual or expected time
,,after the expected or usual time; delayed
,,of the immediate past or just previous to the present time
,,having died recently
,,of a later stage in the development of a language or literature; used especially of dead languages
,,at or toward an end or late period or stage of development
,,(used especially of persons) of the immediate past
,,later than usual or than expected
,,to an advanced time
,,at an advanced age or stage
,,in the recent past
Lately,"ἁρμοῖ, ἔναγχος, νέον, νῦν, ἄρτι, ἀρτίως, νεωστί",in the recent past
Latent,"ἀφανής, ἄδηλος",potentially existing but not presently evident or realized
,,(pathology) not presently active
Later,"ὕστερος, ὕστερον",coming at a subsequent time or stage
,,at or toward an end or late period or stage of development
,,being or occurring at an advanced period of time or after a usual or expected time
,,after the expected or usual time; delayed
,,of the immediate past or just previous to the present time
,,having died recently
,,of a later stage in the development of a language or literature; used especially of dead languages
,,at or toward an end or late period or stage of development
,,(used especially of persons) of the immediate past
,,happening at a time subsequent to a reference time
,,at some eventual time in the future
,,comparative of the adverb `late'
Lateral,πλάγιος,a pass to a receiver upfield from the passer
,,situated at or extending to the side; ; - Tennyson
,,lying away from the median and sagittal plane of a body
Latest,"ὕστατος, καινότατος",the most recent news or development
,,up to the immediate present; most recent or most up-to-date
,,in the current fashion or style
,,being or occurring at an advanced period of time or after a usual or expected time
,,after the expected or usual time; delayed
,,of the immediate past or just previous to the present time
,,having died recently
,,of a later stage in the development of a language or literature; used especially of dead languages
,,at or toward an end or late period or stage of development
,,(used especially of persons) of the immediate past
Lath,"δοκός, ξύλον",a narrow thin strip of wood used as backing for plaster or to make latticework
Lathe,"τόρνος, τορνεύειν",machine tool for shaping metal or wood; the workpiece turns about a horizontal axis against a fixed tool
Latitude,"ἐξουσία, εὐρυχωρία, παρρησία",the angular distance between an imaginary line around a heavenly body parallel to its equator and the equator itself
,,freedom from normal restraints in conduct
,,an imaginary line around the Earth parallel to the equator
,,scope for freedom of e.g. action or thought; freedom from restriction
Latter,οὗτος,the second of two or the second mentioned of two
,,referring to the second of two things or persons mentioned (or the last one or ones of several)
Lattice,θυρίς,an arrangement of points or particles or objects in a regular periodic pattern in 2 or 3 dimensions
,,small opening (like a window in a door) through which business can be transacted
,,framework consisting of an ornamental design made of strips of wood or metal
Laud,"μεγαλύνειν, εὐλογεῖν, αἰνεῖν, ὑμνεῖν, ἐπαινεῖν, ἐγκωμιάζειν, ᾄδειν","praise, glorify, or honor"
Laudable,"ἐπαινετός, δίκαιος, ἀνεπίληπτος, ἄμεμπτος, ἀνεπίφθονος",worthy of high praise
Laudably,"δικαίως, εὖ, καλῶς, ἀνεπιφθόνως",in an admirable manner
Laugh,"κερτομεῖν, ἀνακαγχάζειν, ἀγελαστί, καταγελᾶν, διαγελᾶν, εὔηθες, χλευάζειν, σκώπτειν, ἐπισκώπτειν, ἐπεγγελᾶν, ἐκγελᾶν, γελᾶν, ἐγγελᾶν",the sound of laughing
,,a facial expression characteristic of a person laughing
,,a humorous anecdote or remark intended to provoke laughter
,,produce laughter
Laughable,"καταγέλαστος, γελωτοποιός, γέλοιος",incongruous;inviting ridicule
,,arousing or provoking laughter
Laughably,"καταγελάστως, γελοίως",so as to arouse or deserve laughter
Laughter,"καταγέλως, ἐπίχαρμα, χλευασία, γέλως, χλευασμός, κερτόμησις",the sound of laughing
,,the activity of laughing; the manifestation of joy or mirth or scorn
Launch,"βάλλειν, ἀφίεναι, ἄρχεσθαι, καθέλκειν, ἱέναι, ῥίπτειν",a motorboat with an open deck or a half deck
,,the act of propelling with force
,,set up or found
,,propel with force
,,launch for the first time; launch on a maiden voyage
,,begin with vigor
,,get going; give impetus to
,,smoothen the surface of
Laurel,δάφνη,any of various aromatic trees of the laurel family
,,United States slapstick comedian (born in England) who played the scatterbrained and often tearful member of the Laurel and Hardy duo who made many films (1890-1965)
,,(antiquity) a wreath of laurel foliage worn on the head as an emblem of victory
Laurelled,"δαφνώδης, δαφνηφόρος",crowned with or as if with laurel symbolizing victory
Lava,ῥύαξ,rock that in its molten form (as magma) issues from volcanos; lava is what magma is called when it reaches the surface
Lave,"ἁλίρροθος, ἀμφίκλυστος",wash or flow against
,,cleanse (one's body) with soap and water
,,wash one's face and hands
Laver,"ἀπορραντήρια, τά",Australian tennis player who in 1962 was the second man to win the Australian and French and English and United States singles titles in the same year; in 1969 he repeated this feat (born in 1938)
,,(Old Testament) large basin used by a priest in an ancient Jewish temple to perform ritual ablutions
,,edible red seaweeds
,,seaweed with edible translucent crinkly green fronds
Lavish,"ἐπίρρυτος, δαπανηρός, ἀφειδεῖν, περισσός, ἄσωτος, ἄφθονος",expend profusely; also used with abstract nouns
,,very generous
,,characterized by extravagance and profusion
Lavishly,"ἀσώτως, ἀφειδῶς, ἀφθόνως, περισσῶς",in a wasteful manner
,,in a rich and lavish manner
Lavishness,"περιουσία, ἀσωτία, τρυφή, ἀφθονία, πολυτέλεια, πλῆθος",the quality possessed by something that is excessively expensive
,,excessive spending
Law,"τυραννεύειν, θεσμοποεῖν, θεσμός, εὐνομεῖσθαι, δικάζεσθαι, νόμιμον, νομοθετεῖν, παρανομεῖν, δεσπόζειν, ὁσία, ὑγιεινόν, νόμος, εὐνομία",the collection of rules imposed by authority
,,legal document setting forth rules governing a particular kind of activity
,,a rule or body of rules of conduct inherent in human nature and essential to or binding upon human society
,,a generalization that describes recurring facts or events in nature
,,the branch of philosophy concerned with the law and the principles that lead courts to make the decisions they do
,,the learned profession that is mastered by graduate study in a law school and that is responsible for the judicial system
,,the force of policemen and officers
Law-abiding,ἔννομος,(of individuals) adhering strictly to laws and rules and customs
Lawful,"ἔνδικος, θέμις, γνήσιος, δίκαιος, ὅσιος, ὅσιον, ἰθαγενής, νόμιμος, θεμιτόν, ἔννομος, ὀρθός",conformable to or allowed by law
,,according to custom or rule or natural law
,,having a legally established claim
,,"authorized, sanctioned by, or in accordance with law"
Lawfully,"δικαίως, ἐνδίκως, νομίμως, ὀρθῶς, ὁσίως, ἐννόμως, γνησίως",in a manner acceptable to common custom
,,by law; conforming to the law
Lawfulness,δίκαιον,the quality of conforming to law
Lawless,"ἄνομος, ἀπάλαμνος, παρανομεῖν, ἄναρχος, παράνομος, ἀκοσμεῖν",without law or control
,,lax in enforcing laws
,,disobedient to or defiant of law
Lawlessly,ἀνόμως,in an illegal manner
Lawlessness,"ἀνομία, ἀναρχία, παρανομία, ἄναρχον",a state of lawlessness and disorder (usually resulting from a failure of government)
,,illegality as a consequence of unlawful acts; defiance of the law
Lawn,"λειμών, σινδών, ἄλσος, πόα, τέμενος",a field of cultivated and mowed grass
Lawsuit,"δικάζεσθαι, ἀγών, δίκη",a comprehensive term for any proceeding in a court of law whereby an individual seeks a legal remedy
Lawyer,"συνήγορος, δικανικός, παράκλητος, σύνδικος",a professional person authorized to practice law; conducts lawsuits or gives legal advice
Lax,"χαλαρός, ἀνειμένος, ῥᾴθυμος, ἀπρόθυμος, τρυφερός, ἀμελής, τρυφᾶν",lacking in rigor or strictness
,,"pronounced with muscles of the tongue and jaw relatively relaxed (e.g., the vowel sound in `bet')"
,,lacking in strength or firmness or resilience
,,emptying easily or excessively
Laxity,"ἀμέλεια, τρυφή, ῥᾳθυμία, ῥᾳστώνη",the condition of being physiologically lax
,,the quality of being lax and neglectful
Lay,"ᾠδή, μελῳδία, ποίησις, ποίημα, ἀοιδή, μέλος",a narrative song with a recurrent refrain
,,a narrative poem of popular origin
,,put into a certain place or abstract location
,,put in a horizontal position
,,prepare or position for action or operation
,,lay eggs
,,"impose as a duty, burden, or punishment"
,,be located or situated somewhere; occupy a certain position
,,"be lying, be prostrate; be in a horizontal position"
,,originate (in)
,,be and remain in a particular state or condition
,,tell an untruth; pretend with intent to deceive
,,have a place in relation to something else
,,assume a reclining position
,,characteristic of those who are not members of the clergy
,,not of or from a profession
Layer,"φορμηδόν, ἐπιβολή",single thickness of usually some homogeneous substance
,,a relatively thin sheetlike expanse or region lying over or under another
,,an abstract place usually conceived as having depth
,,a hen that lays eggs
,,thin structure composed of a single thickness of cells
,,make or form a layer
Layman,"ἰδιωτεύειν, ἰδιωτικῶς, ἰδιώτης, ἰδιωτικός",someone who is not a clergyman or a professional person
Lazily,ἀργῶς,in a slow and lazy manner
,,in an idle manner
Laziness,"ἀργία, ῥᾳθυμία",inactivity resulting from a dislike of work
,,relaxed and easy activity
,,apathy and inactivity in the practice of virtue (personified as one of the deadly sins)
Lazy,"ῥᾳθυμεῖν, ῥᾴθυμος, ἄπονος, ἀργεῖν, ἐλινεύειν, ἀργός, καθῆσθαι",moving slowly and gently
,,disinclined to work or exertion
Lea,"ὀργάς, λειμών",a unit of length of thread or yarn
,,a field covered with grass or herbage and suitable for grazing by livestock
Lead,"ἡγεῖσθαι, ἡγεμονεύειν, ὑφήγησις",an advantage held by a competitor in a race
,,a soft heavy toxic malleable metallic element; bluish white when freshly cut but tarnishes readily to dull grey
,,evidence pointing to a possible solution
,,a position of leadership (especially in the phrase `take the lead')
,,the angle between the direction a gun is aimed and the position of a moving target (correcting for the flight time of the missile)
,,the introductory section of a story
,,(sports) the score by which a team or individual is winning
,,an actor who plays a principal role
,,(baseball) the position taken by a base runner preparing to advance to the next base
,,an indication of potential opportunity
,,a news story of major importance
,,the timing of ignition relative to the position of the piston in an internal-combustion engine
,,restraint consisting of a rope (or light chain) used to restrain an animal
,,thin strip of metal used to separate lines of type in printing
,,mixture of graphite with clay in different degrees of hardness; the marking substance in a pencil
,,a jumper that consists of a short piece of wire
,,the playing of a card to start a trick in bridge
,,take somebody somewhere
,,have as a result or residue
,,tend to or result in
,,travel in front of; go in advance of others
,,cause to undertake a certain action
,,"stretch out over a distance, space, time, or scope; run or extend between two points or beyond a certain point"
,,be in charge of
,,be ahead of others; be the first
,,be conducive to
,,"lead, as in the performance of a composition"
,,"lead, extend, or afford access"
,,move ahead (of others) in time or space
,,cause something to pass or lead somewhere
,,preside over
Leader,"ἡγεμών, προστάτης, ἀγωγός",a person who rules or guides or inspires others
,,a featured article of merchandise sold at a loss in order to draw customers
Leadership,"προστασία, ἡγεμονία",the activity of leading
,,the body of people who lead a group
,,the status of a leader
,,the ability to lead
Leading,"πρωτεύειν, κύριος, πρῶτος",thin strip of metal used to separate lines of type in printing
,,the activity of leading
,,take somebody somewhere
,,have as a result or residue
,,tend to or result in
,,travel in front of; go in advance of others
,,cause to undertake a certain action
,,"stretch out over a distance, space, time, or scope; run or extend between two points or beyond a certain point"
,,be in charge of
,,be ahead of others; be the first
,,be conducive to
,,"lead, as in the performance of a composition"
,,"lead, extend, or afford access"
,,move ahead (of others) in time or space
,,cause something to pass or lead somewhere
,,preside over
,,indicating the most important performer or role
,,greatest in importance or degree or significance or achievement
,,going or proceeding or going in advance; showing the way
,,having the leading position or higher score in a contest
Leaf,"φύλλον, χλόη",the main organ of photosynthesis and transpiration in higher plants
,,a sheet of any written or printed material (especially in a manuscript or book)
,,hinged or detachable flat section (as of a table or door)
,,look through a book or other written material
,,turn over pages
,,"produce leaves, of plants"
Leafage,"φυλλάς, φόβη",the main organ of photosynthesis and transpiration in higher plants
Leafless,"ψιλός, ἀφύλλωτος",having no leaves
Leafy,"μελάμφυλλος, σύσκιος, δασύς, δάσκιος",having or covered with leaves
League,"συνιστάναι, συνέρχεσθαι, συνίστασθαι, συνομνύναι, συναλλάσσειν, συνάγειν",an association of sports teams that organizes matches for its members
,,an association of states or organizations or individuals for common action
,,an obsolete unit of distance of variable length (usually 3 miles)
,,unite to form a league
Leak,"ἐκφέρεσθαι, ἀπορρεῖν, γνωρίζεσθαι",an accidental hole that allows something (fluid or light etc.) to enter or escape
,,soft watery rot in fruits and vegetables caused by fungi
,,a euphemism for urination
,,the discharge of a fluid from some container
,,unauthorized (especially deliberate) disclosure of confidential information
,,tell anonymously
,,be leaked
,,enter or escape as through a hole or crack or fissure
,,have an opening that allows light or substances to enter or go out
Leaky,διάβροχος,permitting the unwanted passage of fluids or gases
,,used informally; unable to retain urine
,,prone to communicate confidential information
Lean,"ξηρός, ἰσχνός, λεπτός",the property possessed by a line or surface that departs from the vertical
,,to incline or bend from a vertical position
,,cause to lean or incline
,,have a tendency or disposition to do or be something; be inclined
,,rely on for support
,,cause to lean to the side
,,lacking excess flesh; ; -Shakespeare
,,lacking in mineral content or combustible material
,,containing little excess
,,not profitable or prosperous
Leaning,ἐπικλινής,an inclination to do something
,,a natural inclination
,,the property possessed by a line or surface that departs from the vertical
,,the act of deviating from a vertical position
,,to incline or bend from a vertical position
,,cause to lean or incline
,,have a tendency or disposition to do or be something; be inclined
,,rely on for support
,,cause to lean to the side
,,departing or being caused to depart from the true vertical or horizontal
Leanness,λεπτότης,the quality of being meager; -George Eliot
,,the property of having little body fat
Leap,"ἐκθρώσκειν, ἀποπηδᾶν, ἀναπηδᾶν, ἐκπηδᾶν, ἐπιπηδᾶν, σκιρτᾶν, πηδᾶν, θρώσκειν, καταπηδᾶν, ἐπιθρώσκειν, διαπηδᾶν, ὑπερθρώσκειν, ὑπερπηδᾶν, ἐνθρώσκειν, ἐνάλλεσθαι, ἅλλεσθαι, ἐπενθρώσκειν","a light, self-propelled movement upwards or forwards"
,,an abrupt transition
,,a sudden and decisive increase
,,the distance leaped (or to be leaped)
,,move forward by leaps and bounds
,,pass abruptly from one state or topic to another
,,jump down from an elevated point
,,cause to jump or leap
Learn,"πεύθεσθαι, ἐκμανθάνειν, μανθάνειν, κλύειν, προπυνθάνεσθαι, πυνθάνεσθαι, διδάσκεσθαι, ἐκπυνθάνεσθαι, διαπυνθάνεσθαι, προμανθάνειν, ἀκούειν, ἐπιμανθάνειν, προσμανθάνειν",gain knowledge or skills
,,"get to know or become aware of, usually accidentally"
,,commit to memory; learn by heart
,,be a student of a certain subject
,,impart skills or knowledge to
,,"find out, learn, or determine with certainty, usually by making an inquiry or other effort"
Learned,"ἐπιστήμων, σοφός, ἔμπειρος, φιλόσοφος, πολυμαθής, σοφιστής",gain knowledge or skills
,,"get to know or become aware of, usually accidentally"
,,commit to memory; learn by heart
,,be a student of a certain subject
,,impart skills or knowledge to
,,"find out, learn, or determine with certainty, usually by making an inquiry or other effort"
,,having or showing profound knowledge
,,highly educated; having extensive information or understanding
,,established by conditioning or learning
Learnedly,σοφῶς,with erudition; in an erudite manner
Learner,μαθητής,someone (especially a child) who learns (as from a teacher) or takes up knowledge or beliefs
,,works for an expert to learn a trade
Learning,"ἐπιστήμη, φιλομαθής, παιδεία, μάθησις, εὐμαθής, εὐμάθεια, πολυμαθία, σοφία, μάθημα, φιλομάθεια",the cognitive process of acquiring skill or knowledge
,,profound scholarly knowledge
,,gain knowledge or skills
,,"get to know or become aware of, usually accidentally"
,,commit to memory; learn by heart
,,be a student of a certain subject
,,impart skills or knowledge to
,,"find out, learn, or determine with certainty, usually by making an inquiry or other effort"
Lease,"μίσθωσις, συγγραφή",property that is leased or rented out or let
,,a contract granting use or occupation of property during a specified time for a specified payment
,,the period of time during which a contract conveying property to a person is in effect
,,let for money
,,hold under a lease or rental agreement; of goods and services
,,grant use or occupation of under a term of contract
,,engage for service under a term of contract
Leash,ἱμάς,restraint consisting of a rope (or light chain) used to restrain an animal
,,the cardinal number that is the sum of one and one and one
,,a figurative restraint
,,fasten with a rope
Least,"ἥκιστα, ἐλάχιστα",something that is of no importance
,,the superlative of `little' that can be used with mass nouns and is usually preceded by `the'; a quantifier meaning smallest in amount or extent or degree
,,used to form the superlative
Leather,"διφθέρα, σκῦτος",an animal skin made smooth and flexible by removing the hair and then tanning
,,whip with a leather strap
Leave,"ἐλλείπεσθαι, κενοῦν, προλείπειν, μεθιέναι, καταλείπειν, περιλείπεσθαι, ἐρημοῦν, λείπειν, ὑπολείπεσθαι, ὑπολείπειν, ἐκλείπειν, ἐγκαταλείπειν, μεταλλάσσειν, μεθίεσθαι, ἐᾶν, ἀμείβειν, παραλείπειν, ἐλλείπειν, ἀφιέναι, προδιδόναι, λείπεσθαι, προϊέναι, ἐκλιμπάνειν, ἀπολείπειν, ἐξαμείβειν, παριέναι, ἀφίεσθαι",the period of time during which you are absent from work or duty
,,permission to do something
,,the act of departing politely
,,go away from a place
,,"go and leave behind, either intentionally or by neglect or forgetfulness"
,,act or be so as to become in a specified state
,,leave unchanged or undisturbed or refrain from taking
,,move out of or depart from
,,make a possibility or provide opportunity for; permit to be attainable or cause to remain
,,have as a result or residue
,,remove oneself from an association with or participation in
,,put into the care or protection of someone
,,leave or give by will after one's death
,,have left or have as a remainder
,,be survived by after one's death
,,transmit (knowledge or skills)
,,leave behind unintentionally
Leaven,ζύμη,a substance used to produce fermentation in dough or a liquid
,,an influence that works subtly to lighten or modify something
,,cause to puff up with a leaven
Leavings,λείψανα,the act of departing
Lecture,"ῥυθμίζειν, σωφρονίζειν, νουθετεῖν",a speech that is open to the public
,,a lengthy rebuke
,,teaching by giving a discourse on some subject (typically to a class)
,,deliver a lecture or talk
,,censure severely or angrily
Ledge,"πρόβολος, χοιράς",a projecting ridge on a mountain or submerged under water
Ledger,"τά, γράμματα, γραμματεῖον",a record in which commercial accounts are recorded
,,an accounting journal as a physical object
Leech,"βδέλλα, ἰατρός",carnivorous or bloodsucking aquatic or terrestrial worms typically having a sucker at each end
,,a follower who hangs around a host (without benefit to the host) in hope of gain or advantage
,,draw blood
Leek,πράσον,plant having a large slender white bulb and flat overlapping dark green leaves; used in cooking; believed derived from the wild Allium ampeloprasum
,,related to onions; white cylindrical bulb and flat dark-green leaves
Leer,χλευάζειν,a facial expression of contempt or scorn; the upper lip curls
,,a suggestive or sneering look or grin
,,"look suggestively or obliquely; look or gaze with a sly, immodest, or malign expression"
Leering,ἀναιδής,"look suggestively or obliquely; look or gaze with a sly, immodest, or malign expression"
,,showing sly or knowing malice in a glance; - Amy Lowell
,,(of a glance) sidelong and slyly lascivious
Lees,τρύξ,the sediment from fermentation of an alcoholic beverage
,,United States filmmaker whose works explore the richness of black culture in America (born in 1957)
,,United States striptease artist who became famous on Broadway in the 1930s (1914-1970)
,,United States actor who was an expert in kung fu and starred in martial arts films (1941-1973)
,,United States physicist (born in China) who collaborated with Yang Chen Ning in disproving the principle of conservation of parity (born in 1926)
,,leader of the American Revolution who proposed the resolution calling for independence of the American Colonies (1732-1794)
,,soldier of the American Revolution (1756-1818)
,,American general who led the Confederate Armies in the American Civil War (1807-1870)
,,the side of something that is sheltered from the wind
Left,"ἀριστερός, εὐώνυμος, λαιός, λοιπός, περιλείπεσθαι, λοίσθιος, λοῖσθος",location near or direction toward the left side; i.e. the side to the north when a person or object faces east
,,those who support varying degrees of social or political or economic change designed to promote the public welfare
,,the hand that is on the left side of the body
,,the piece of ground in the outfield on the catcher's left
,,a turn toward the side of the body that is on the north when the person is facing east
,,go away from a place
,,"go and leave behind, either intentionally or by neglect or forgetfulness"
,,act or be so as to become in a specified state
,,leave unchanged or undisturbed or refrain from taking
,,move out of or depart from
,,make a possibility or provide opportunity for; permit to be attainable or cause to remain
,,have as a result or residue
,,remove oneself from an association with or participation in
,,put into the care or protection of someone
,,leave or give by will after one's death
,,have left or have as a remainder
,,be survived by after one's death
,,transmit (knowledge or skills)
,,leave behind unintentionally
,,being or located on or directed toward the side of the body to the west when facing north
,,not used up
,,intended for the left hand
,,of or belonging to the political or intellectual left
,,toward or on the left; also used figuratively
Leg,"πούς, τρίπους, τετρασκελής, σκέλος, κνήμη, τετράπους, κῶλον, δίπους",a human limb; commonly used to refer to a whole limb but technically only the part of the limb between the knee and ankle
,,a structure in animals that is similar to a human leg and used for locomotion
,,one of the supports for a piece of furniture
,,a part of a forked or branching shape
,,the limb of an animal used for food
,,a prosthesis that replaces a missing leg
,,a cloth covering consisting of the part of a pair of trousers that covers a person's leg
,,(nautical) the distance traveled by a sailing vessel on a single tack
,,a section or portion of a journey or course
Legacy,"καταλείπειν, δόσις, δωρεά",(law) a gift of personal property by will
Legal,"νομικός, νόμιμος, ἔννομος",established by or founded upon law or official or accepted rules
,,of or relating to jurisprudence
,,having legal efficacy or force
,,relating to or characteristic of the profession of law
,,allowed by official rules
Legalise,κυροῦν,make legal
Legality,ἔννομον,lawfulness by virtue of conformity to a legal statute
Legally,"ἐννόμως, νομίμως",by law; conforming to the law
,,in a legal manner
